# wl(nm) calibrationFactor
1.762754251417138960e+02 2.000000000000000000e+00
1.795998666222074007e+02 2.000000000000000000e+00
1.829243081027008770e+02 2.000000000000000000e+00
1.862487495831943818e+02 2.000000000000000000e+00
1.895731910636878865e+02 2.000000000000000000e+00
1.928976325441813913e+02 2.000000000000000000e+00
1.962220740246748960e+02 2.000000000000000000e+00
1.995465155051683723e+02 2.000000000000000000e+00
2.028709569856618771e+02 2.000000000000000000e+00
2.061953984661553818e+02 2.000000000000000000e+00
2.095198399466488581e+02 2.000000000000000000e+00
2.128442814271423629e+02 2.000000000000000000e+00
2.161687229076358676e+02 2.000000000000000000e+00
2.194931643881293724e+02 2.000000000000000000e+00
2.228176058686228771e+02 2.000000000000000000e+00
2.261420473491163534e+02 2.000000000000000000e+00
2.294664888296098582e+02 2.000000000000000000e+00
2.327909303101033629e+02 2.000000000000000000e+00
2.361153717905968392e+02 2.000000000000000000e+00
2.394398132710903440e+02 2.000000000000000000e+00
2.427642547515838487e+02 2.000000000000000000e+00
2.460886962320773534e+02 2.000000000000000000e+00
2.494131377125708582e+02 2.000000000000000000e+00
2.527375791930643345e+02 2.000000000000000000e+00
2.560620206735578677e+02 2.000000000000000000e+00
2.593864621540513440e+02 2.000000000000000000e+00
2.627109036345448203e+02 2.000000000000000000e+00
2.660353451150383535e+02 2.000000000000000000e+00
2.693597865955318298e+02 2.000000000000000000e+00
2.726842280760253061e+02 2.000000000000000000e+00
2.760086695565188393e+02 2.000000000000000000e+00
2.793331110370123156e+02 2.000000000000000000e+00
2.826575525175057919e+02 2.000000000000000000e+00
2.859819939979993251e+02 2.000000000000000000e+00
2.893064354784928014e+02 2.000000000000000000e+00
2.926308769589863346e+02 2.000000000000000000e+00
2.959553184394798109e+02 2.000000000000000000e+00
2.992797599199732872e+02 2.000000000000000000e+00
3.026042014004668204e+02 2.000000000000000000e+00
3.059286428809602967e+02 2.000000000000000000e+00
3.092530843614538298e+02 2.000000000000000000e+00
3.125775258419473062e+02 2.000000000000000000e+00
3.159019673224407825e+02 2.000000000000000000e+00
3.192264088029343156e+02 2.000000000000000000e+00
3.225508502834277920e+02 2.000000000000000000e+00
3.258752917639212683e+02 2.000000000000000000e+00
3.291997332444148014e+02 2.000000000000000000e+00
3.325241747249082778e+02 2.000000000000000000e+00
3.358486162054017541e+02 2.000000000000000000e+00
3.391730576858952872e+02 2.000000000000000000e+00
3.424974991663887636e+02 2.000000000000000000e+00
3.458219406468822967e+02 2.000000000000000000e+00
3.491463821273757731e+02 2.000000000000000000e+00
3.524708236078692494e+02 2.000000000000000000e+00
3.557952650883627825e+02 2.000000000000000000e+00
3.591197065688562589e+02 2.000000000000000000e+00
3.624441480493497920e+02 2.000000000000000000e+00
3.657685895298432683e+02 2.000000000000000000e+00
3.690930310103367447e+02 2.000000000000000000e+00
3.724174724908302778e+02 2.000000000000000000e+00
3.757419139713237541e+02 2.000000000000000000e+00
3.790663554518172305e+02 2.000000000000000000e+00
3.823907969323107636e+02 2.000000000000000000e+00
3.857152384128042399e+02 2.000000000000000000e+00
3.890396798932977163e+02 2.000000000000000000e+00
3.923641213737912494e+02 2.000000000000000000e+00
3.956885628542847257e+02 2.000000000000000000e+00
3.990130043347782589e+02 2.000000000000000000e+00
4.023374458152717352e+02 2.000000000000000000e+00
4.056618872957652115e+02 2.000000000000000000e+00
4.089863287762587447e+02 2.000000000000000000e+00
4.123107702567522210e+02 2.000000000000000000e+00
4.156352117372457542e+02 2.000000000000000000e+00
4.189596532177392305e+02 2.000000000000000000e+00
4.222840946982327068e+02 2.000000000000000000e+00
4.256085361787262400e+02 2.000000000000000000e+00
4.289329776592197163e+02 2.000000000000000000e+00
4.322574191397131926e+02 2.000000000000000000e+00
4.355818606202067258e+02 2.000000000000000000e+00
4.389063021007002021e+02 2.000000000000000000e+00
4.422307435811936784e+02 2.000000000000000000e+00
4.455551850616872116e+02 2.000000000000000000e+00
4.488796265421806879e+02 2.000000000000000000e+00
4.522040680226742211e+02 2.000000000000000000e+00
4.555285095031676974e+02 2.000000000000000000e+00
4.588529509836611737e+02 2.000000000000000000e+00
4.621773924641547069e+02 2.000000000000000000e+00
4.655018339446481832e+02 2.000000000000000000e+00
4.688262754251417164e+02 2.000000000000000000e+00
4.721507169056351927e+02 2.000000000000000000e+00
4.754751583861286690e+02 2.000000000000000000e+00
4.787995998666222022e+02 2.000000000000000000e+00
4.821240413471156785e+02 2.000000000000000000e+00
4.854484828276091548e+02 2.000000000000000000e+00
4.887729243081026880e+02 2.000000000000000000e+00
4.920973657885961643e+02 2.000000000000000000e+00
4.954218072690896406e+02 2.000000000000000000e+00
4.987462487495831738e+02 2.000000000000000000e+00
5.020706902300766501e+02 2.000000000000000000e+00
5.053951317105701833e+02 2.000000000000000000e+00
5.087195731910636596e+02 2.000000000000000000e+00
5.120440146715570791e+02 2.000000000000000000e+00
5.153684561520506122e+02 2.000000000000000000e+00
5.186928976325441454e+02 2.000000000000000000e+00
5.220173391130376785e+02 2.000000000000000000e+00
5.253417805935312117e+02 2.000000000000000000e+00
5.286662220740246312e+02 2.000000000000000000e+00
5.319906635545181643e+02 2.000000000000000000e+00
5.353151050350115838e+02 2.000000000000000000e+00
5.386395465155051170e+02 2.000000000000000000e+00
5.419639879959986501e+02 2.000000000000000000e+00
5.452884294764921833e+02 2.000000000000000000e+00
5.486128709569856028e+02 2.000000000000000000e+00
5.519373124374791360e+02 2.000000000000000000e+00
5.552617539179726691e+02 2.000000000000000000e+00
5.585861953984660886e+02 2.000000000000000000e+00
5.619106368789596218e+02 2.000000000000000000e+00
5.652350783594531549e+02 2.000000000000000000e+00
5.685595198399465744e+02 2.000000000000000000e+00
5.718839613204401076e+02 2.000000000000000000e+00
5.752084028009336407e+02 2.000000000000000000e+00
5.785328442814270602e+02 2.000000000000000000e+00
5.818572857619205934e+02 2.000000000000000000e+00
5.851817272424141265e+02 2.000000000000000000e+00
5.885061687229076597e+02 2.000000000000000000e+00
5.918306102034010792e+02 2.000000000000000000e+00
5.951550516838946123e+02 2.000000000000000000e+00
5.984794931643881455e+02 2.000000000000000000e+00
6.018039346448815650e+02 2.000000000000000000e+00
6.051283761253750981e+02 2.000000000000000000e+00
6.084528176058686313e+02 2.000000000000000000e+00
6.117772590863620508e+02 2.000000000000000000e+00
6.151017005668555839e+02 2.000000000000000000e+00
6.184261420473491171e+02 2.000000000000000000e+00
6.217505835278425366e+02 2.000000000000000000e+00
6.250750250083360697e+02 2.000000000000000000e+00
6.283994664888296029e+02 2.000000000000000000e+00
6.317239079693230224e+02 2.000000000000000000e+00
6.350483494498165555e+02 2.000000000000000000e+00
6.383727909303100887e+02 2.000000000000000000e+00
6.416972324108035082e+02 2.000000000000000000e+00
6.450216738912970413e+02 2.000000000000000000e+00
6.483461153717905745e+02 2.000000000000000000e+00
6.516705568522841077e+02 2.000000000000000000e+00
6.549949983327775271e+02 2.000000000000000000e+00
6.583194398132710603e+02 2.000000000000000000e+00
6.616438812937645935e+02 2.000000000000000000e+00
6.649683227742580129e+02 2.000000000000000000e+00
6.682927642547515461e+02 2.000000000000000000e+00
6.716172057352450793e+02 2.000000000000000000e+00
6.749416472157384987e+02 2.000000000000000000e+00
6.782660886962320319e+02 2.000000000000000000e+00
6.815905301767255651e+02 2.000000000000000000e+00
6.849149716572189845e+02 2.000000000000000000e+00
6.882394131377125177e+02 2.000000000000000000e+00
6.915638546182060509e+02 2.000000000000000000e+00
6.948882960986995840e+02 2.000000000000000000e+00
6.982127375791930035e+02 2.000000000000000000e+00
7.015371790596865367e+02 2.000000000000000000e+00
7.048616205401800698e+02 2.000000000000000000e+00
7.081860620206734893e+02 2.000000000000000000e+00
7.115105035011670225e+02 2.000000000000000000e+00
7.148349449816605556e+02 2.000000000000000000e+00
7.181593864621539751e+02 2.000000000000000000e+00
7.214838279426475083e+02 2.000000000000000000e+00
7.248082694231410414e+02 2.000000000000000000e+00
7.281327109036344609e+02 2.000000000000000000e+00
7.314571523841279941e+02 2.000000000000000000e+00
7.347815938646215272e+02 2.000000000000000000e+00
7.381060353451149467e+02 2.000000000000000000e+00
7.414304768256084799e+02 2.000000000000000000e+00
7.447549183061020130e+02 2.000000000000000000e+00
7.480793597865954325e+02 2.000000000000000000e+00
7.514038012670889657e+02 2.000000000000000000e+00
7.547282427475824989e+02 2.000000000000000000e+00
7.580526842280760320e+02 2.000000000000000000e+00
7.613771257085694515e+02 2.000000000000000000e+00
7.647015671890629847e+02 2.000000000000000000e+00
7.680260086695565178e+02 2.000000000000000000e+00
7.713504501500499373e+02 2.000000000000000000e+00
7.746748916305434705e+02 2.000000000000000000e+00
7.779993331110370036e+02 2.000000000000000000e+00
7.813237745915304231e+02 2.000000000000000000e+00
7.846482160720239563e+02 2.000000000000000000e+00
7.879726575525174894e+02 2.000000000000000000e+00
7.912970990330109089e+02 2.000000000000000000e+00
7.946215405135044421e+02 2.000000000000000000e+00
7.979459819939979752e+02 2.000000000000000000e+00
8.012704234744915084e+02 2.000000000000000000e+00
8.045948649549849279e+02 2.000000000000000000e+00
8.079193064354784610e+02 2.000000000000000000e+00
8.112437479159719942e+02 2.000000000000000000e+00
8.145681893964654137e+02 2.000000000000000000e+00
8.178926308769589468e+02 2.000000000000000000e+00
8.212170723574524800e+02 2.000000000000000000e+00
8.245415138379458995e+02 2.000000000000000000e+00
8.278659553184394326e+02 2.000000000000000000e+00
8.311903967989329658e+02 2.000000000000000000e+00
8.345148382794263853e+02 2.000000000000000000e+00
8.378392797599199184e+02 2.000000000000000000e+00
8.411637212404134516e+02 2.000000000000000000e+00
8.444881627209068711e+02 2.000000000000000000e+00
8.478126042014004042e+02 2.000000000000000000e+00
8.511370456818939374e+02 2.000000000000000000e+00
8.544614871623873569e+02 2.000000000000000000e+00
8.577859286428808900e+02 2.000000000000000000e+00
8.611103701233744232e+02 2.000000000000000000e+00
8.644348116038679564e+02 2.000000000000000000e+00
8.677592530843613758e+02 2.000000000000000000e+00
8.710836945648549090e+02 2.000000000000000000e+00
8.744081360453484422e+02 2.000000000000000000e+00
8.777325775258418616e+02 2.000000000000000000e+00
8.810570190063353948e+02 2.000000000000000000e+00
8.843814604868289280e+02 2.000000000000000000e+00
8.877059019673223474e+02 2.000000000000000000e+00
8.910303434478158806e+02 2.000000000000000000e+00
8.943547849283094138e+02 2.000000000000000000e+00
8.976792264088028332e+02 2.000000000000000000e+00
9.010036678892963664e+02 2.000000000000000000e+00
9.043281093697898996e+02 2.000000000000000000e+00
9.076525508502834327e+02 2.000000000000000000e+00
9.109769923307768522e+02 2.000000000000000000e+00
9.143014338112703854e+02 2.000000000000000000e+00
9.176258752917639185e+02 2.000000000000000000e+00
9.209503167722573380e+02 2.000000000000000000e+00
9.242747582527508712e+02 2.000000000000000000e+00
9.275991997332444043e+02 2.000000000000000000e+00
9.309236412137378238e+02 2.000000000000000000e+00
9.342480826942313570e+02 2.000000000000000000e+00
9.375725241747248901e+02 2.000000000000000000e+00
9.408969656552183096e+02 2.000000000000000000e+00
9.442214071357118428e+02 2.000000000000000000e+00
9.475458486162053759e+02 2.000000000000000000e+00
9.508702900966987954e+02 2.000000000000000000e+00
9.541947315771923286e+02 2.000000000000000000e+00
9.575191730576858617e+02 2.000000000000000000e+00
9.608436145381792812e+02 2.000000000000000000e+00
9.641680560186728144e+02 2.000000000000000000e+00
9.674924974991663476e+02 2.000000000000000000e+00
9.708169389796598807e+02 2.000000000000000000e+00
9.741413804601533002e+02 2.000000000000000000e+00
9.774658219406468334e+02 2.000000000000000000e+00
9.807902634211403665e+02 2.000000000000000000e+00
9.841147049016337860e+02 2.000000000000000000e+00
9.874391463821273192e+02 2.000000000000000000e+00
9.907635878626208523e+02 2.000000000000000000e+00
9.940880293431142718e+02 2.000000000000000000e+00
9.974124708236078050e+02 2.000000000000000000e+00
1.000736912304101338e+03 2.000000000000000000e+00
1.004061353784594758e+03 2.000000000000000000e+00
1.007385795265088291e+03 2.000000000000000000e+00
1.010710236745581824e+03 2.000000000000000000e+00
1.014034678226075357e+03 2.000000000000000000e+00
1.017359119706568777e+03 2.000000000000000000e+00
1.020683561187062310e+03 2.000000000000000000e+00
1.024008002667555957e+03 2.000000000000000000e+00
1.027332444148049262e+03 2.000000000000000000e+00
1.030656885628542796e+03 2.000000000000000000e+00
1.033981327109036329e+03 2.000000000000000000e+00
1.037305768589529634e+03 2.000000000000000000e+00
1.040630210070023168e+03 2.000000000000000000e+00
1.043954651550516701e+03 2.000000000000000000e+00
1.047279093031010234e+03 2.000000000000000000e+00
1.050603534511503767e+03 2.000000000000000000e+00
1.053927975991997300e+03 2.000000000000000000e+00
1.057252417472490833e+03 2.000000000000000000e+00
1.060576858952984367e+03 2.000000000000000000e+00
1.063901300433477672e+03 2.000000000000000000e+00
1.067225741913971206e+03 2.000000000000000000e+00
1.070550183394464739e+03 2.000000000000000000e+00
1.073874624874958272e+03 2.000000000000000000e+00
1.077199066355451805e+03 2.000000000000000000e+00
1.080523507835945338e+03 2.000000000000000000e+00
1.083847949316438644e+03 2.000000000000000000e+00
1.087172390796932177e+03 2.000000000000000000e+00
1.090496832277425710e+03 2.000000000000000000e+00
1.093821273757919244e+03 2.000000000000000000e+00
1.097145715238412777e+03 2.000000000000000000e+00
1.100470156718906310e+03 2.000000000000000000e+00
1.103794598199399843e+03 2.000000000000000000e+00
1.107119039679893149e+03 2.000000000000000000e+00
1.110443481160386682e+03 2.000000000000000000e+00
1.113767922640880215e+03 2.000000000000000000e+00
1.117092364121373748e+03 2.000000000000000000e+00
1.120416805601867281e+03 2.000000000000000000e+00
1.123741247082360815e+03 2.000000000000000000e+00
1.127065688562854120e+03 2.000000000000000000e+00
1.130390130043347654e+03 2.000000000000000000e+00
1.133714571523841187e+03 2.000000000000000000e+00
1.137039013004334720e+03 2.000000000000000000e+00
1.140363454484828253e+03 2.000000000000000000e+00
1.143687895965321786e+03 2.000000000000000000e+00
1.147012337445815319e+03 2.000000000000000000e+00
1.150336778926308625e+03 2.000000000000000000e+00
1.153661220406802158e+03 2.000000000000000000e+00
1.156985661887295691e+03 2.000000000000000000e+00
1.160310103367789225e+03 2.000000000000000000e+00
1.163634544848282758e+03 2.000000000000000000e+00
1.166958986328776291e+03 2.000000000000000000e+00
1.170283427809269597e+03 2.000000000000000000e+00
1.173607869289763130e+03 2.000000000000000000e+00
1.176932310770256663e+03 2.000000000000000000e+00
1.180256752250750196e+03 2.000000000000000000e+00
1.183581193731243729e+03 2.000000000000000000e+00
1.186905635211737263e+03 2.000000000000000000e+00
1.190230076692230568e+03 2.000000000000000000e+00
1.193554518172724102e+03 2.000000000000000000e+00
1.196878959653217635e+03 2.000000000000000000e+00
1.200203401133711168e+03 2.000000000000000000e+00
1.203527842614204701e+03 2.000000000000000000e+00
1.206852284094698234e+03 2.000000000000000000e+00
1.210176725575191767e+03 2.000000000000000000e+00
1.213501167055685073e+03 2.000000000000000000e+00
1.216825608536178606e+03 2.000000000000000000e+00
1.220150050016672139e+03 2.000000000000000000e+00
1.223474491497165673e+03 2.000000000000000000e+00
1.226798932977659206e+03 2.000000000000000000e+00
1.230123374458152739e+03 2.000000000000000000e+00
1.233447815938646045e+03 2.000000000000000000e+00
1.236772257419139578e+03 2.000000000000000000e+00
1.240096698899633111e+03 2.000000000000000000e+00
1.243421140380126644e+03 2.000000000000000000e+00
1.246745581860620177e+03 2.000000000000000000e+00
1.250070023341113711e+03 2.000000000000000000e+00
1.253394464821607016e+03 2.000000000000000000e+00
1.256718906302100550e+03 2.000000000000000000e+00
1.260043347782594083e+03 2.000000000000000000e+00
1.263367789263087616e+03 2.000000000000000000e+00
1.266692230743581149e+03 2.000000000000000000e+00
1.270016672224074682e+03 2.000000000000000000e+00
1.273341113704568215e+03 2.000000000000000000e+00
1.276665555185061521e+03 2.000000000000000000e+00
1.279989996665555054e+03 2.000000000000000000e+00
1.283314438146048587e+03 2.000000000000000000e+00
1.286638879626542121e+03 2.000000000000000000e+00
1.289963321107035654e+03 2.000000000000000000e+00
1.293287762587529187e+03 2.000000000000000000e+00
1.296612204068022493e+03 2.000000000000000000e+00
1.299936645548516026e+03 2.000000000000000000e+00
1.303261087029009559e+03 2.000000000000000000e+00
1.306585528509503092e+03 2.000000000000000000e+00
1.309909969989996625e+03 2.000000000000000000e+00
1.313234411470490159e+03 2.000000000000000000e+00
1.316558852950983692e+03 2.000000000000000000e+00
1.319883294431476997e+03 2.000000000000000000e+00
1.323207735911970531e+03 2.000000000000000000e+00
1.326532177392464064e+03 2.000000000000000000e+00
1.329856618872957597e+03 2.000000000000000000e+00
1.333181060353451130e+03 2.000000000000000000e+00
1.336505501833944663e+03 2.000000000000000000e+00
1.339829943314437969e+03 2.000000000000000000e+00
1.343154384794931502e+03 2.000000000000000000e+00
1.346478826275425035e+03 2.000000000000000000e+00
1.349803267755918569e+03 2.000000000000000000e+00
1.353127709236412102e+03 2.000000000000000000e+00
1.356452150716905635e+03 2.000000000000000000e+00
1.359776592197399168e+03 2.000000000000000000e+00
1.363101033677892474e+03 2.000000000000000000e+00
1.366425475158386007e+03 2.000000000000000000e+00
1.369749916638879540e+03 2.000000000000000000e+00
1.373074358119373073e+03 2.000000000000000000e+00
1.376398799599866607e+03 2.000000000000000000e+00
1.379723241080360140e+03 2.000000000000000000e+00
1.383047682560853445e+03 2.000000000000000000e+00
1.386372124041346979e+03 2.000000000000000000e+00
1.389696565521840512e+03 2.000000000000000000e+00
1.393021007002334045e+03 2.000000000000000000e+00
1.396345448482827578e+03 2.000000000000000000e+00
1.399669889963321111e+03 2.000000000000000000e+00
1.402994331443814417e+03 2.000000000000000000e+00
1.406318772924307950e+03 2.000000000000000000e+00
1.409643214404801483e+03 2.000000000000000000e+00
1.412967655885295017e+03 2.000000000000000000e+00
1.416292097365788550e+03 2.000000000000000000e+00
1.419616538846282083e+03 2.000000000000000000e+00
1.422940980326775616e+03 2.000000000000000000e+00
1.426265421807268922e+03 2.000000000000000000e+00
1.429589863287762455e+03 2.000000000000000000e+00
1.432914304768255988e+03 2.000000000000000000e+00
1.436238746248749521e+03 2.000000000000000000e+00
1.439563187729243054e+03 2.000000000000000000e+00
1.442887629209736588e+03 2.000000000000000000e+00
1.446212070690229893e+03 2.000000000000000000e+00
1.449536512170723427e+03 2.000000000000000000e+00
1.452860953651216960e+03 2.000000000000000000e+00
1.456185395131710493e+03 2.000000000000000000e+00
1.459509836612204026e+03 2.000000000000000000e+00
1.462834278092697559e+03 2.000000000000000000e+00
1.466158719573190865e+03 2.000000000000000000e+00
1.469483161053684398e+03 2.000000000000000000e+00
1.472807602534177931e+03 2.000000000000000000e+00
1.476132044014671465e+03 2.000000000000000000e+00
1.479456485495164998e+03 2.000000000000000000e+00
1.482780926975658531e+03 2.000000000000000000e+00
1.486105368456152064e+03 2.000000000000000000e+00
1.489429809936645370e+03 2.000000000000000000e+00
1.492754251417138903e+03 2.000000000000000000e+00
1.496078692897632436e+03 2.000000000000000000e+00
1.499403134378125969e+03 2.000000000000000000e+00
1.502727575858619502e+03 2.000000000000000000e+00
1.506052017339113036e+03 2.000000000000000000e+00
1.509376458819606341e+03 2.000000000000000000e+00
1.512700900300099875e+03 2.000000000000000000e+00
1.516025341780593408e+03 2.000000000000000000e+00
1.519349783261086941e+03 2.000000000000000000e+00
1.522674224741580474e+03 2.000000000000000000e+00
1.525998666222074007e+03 2.000000000000000000e+00
1.529323107702567540e+03 2.000000000000000000e+00
1.532647549183060846e+03 2.000000000000000000e+00
1.535971990663554379e+03 2.000000000000000000e+00
1.539296432144047913e+03 2.000000000000000000e+00
1.542620873624541446e+03 2.000000000000000000e+00
1.545945315105034979e+03 2.000000000000000000e+00
1.549269756585528512e+03 2.000000000000000000e+00
1.552594198066021818e+03 2.000000000000000000e+00
1.555918639546515351e+03 2.000000000000000000e+00
1.559243081027008884e+03 2.000000000000000000e+00
1.562567522507502417e+03 2.000000000000000000e+00
1.565891963987995950e+03 2.000000000000000000e+00
1.569216405468489484e+03 2.000000000000000000e+00
1.572540846948983017e+03 2.000000000000000000e+00
1.575865288429476323e+03 2.000000000000000000e+00
1.579189729909969856e+03 2.000000000000000000e+00
1.582514171390463389e+03 2.000000000000000000e+00
1.585838612870956922e+03 2.000000000000000000e+00
1.589163054351450455e+03 2.000000000000000000e+00
1.592487495831943988e+03 2.000000000000000000e+00
1.595811937312437294e+03 2.000000000000000000e+00
1.599136378792930827e+03 2.000000000000000000e+00
1.602460820273424360e+03 2.000000000000000000e+00
1.605785261753917894e+03 2.000000000000000000e+00
1.609109703234411427e+03 2.000000000000000000e+00
1.612434144714904960e+03 2.000000000000000000e+00
1.615758586195398266e+03 2.000000000000000000e+00
1.619083027675891799e+03 2.000000000000000000e+00
1.622407469156385332e+03 2.000000000000000000e+00
1.625731910636878865e+03 2.000000000000000000e+00
1.629056352117372398e+03 2.000000000000000000e+00
1.632380793597865932e+03 2.000000000000000000e+00
1.635705235078359465e+03 2.000000000000000000e+00
1.639029676558852771e+03 2.000000000000000000e+00
1.642354118039346304e+03 2.000000000000000000e+00
1.645678559519839837e+03 2.000000000000000000e+00
1.649003001000333370e+03 2.000000000000000000e+00
1.652327442480826903e+03 2.000000000000000000e+00
1.655651883961320436e+03 2.000000000000000000e+00
1.658976325441813742e+03 2.000000000000000000e+00
1.662300766922307275e+03 2.000000000000000000e+00
1.665625208402800808e+03 2.000000000000000000e+00
1.668949649883294342e+03 2.000000000000000000e+00
1.672274091363787875e+03 2.000000000000000000e+00
1.675598532844281408e+03 2.000000000000000000e+00
1.678922974324774714e+03 2.000000000000000000e+00
1.682247415805268247e+03 2.000000000000000000e+00
1.685571857285761780e+03 2.000000000000000000e+00
1.688896298766255313e+03 2.000000000000000000e+00
1.692220740246748846e+03 2.000000000000000000e+00
1.695545181727242380e+03 2.000000000000000000e+00
1.698869623207735913e+03 2.000000000000000000e+00
1.702194064688229219e+03 2.000000000000000000e+00
1.705518506168722752e+03 2.000000000000000000e+00
1.708842947649216285e+03 2.000000000000000000e+00
1.712167389129709818e+03 2.000000000000000000e+00
1.715491830610203351e+03 2.000000000000000000e+00
1.718816272090696884e+03 2.000000000000000000e+00
1.722140713571190190e+03 2.000000000000000000e+00
1.725465155051683723e+03 2.000000000000000000e+00
1.728789596532177256e+03 2.000000000000000000e+00
1.732114038012670790e+03 2.000000000000000000e+00
1.735438479493164323e+03 2.000000000000000000e+00
1.738762920973657856e+03 2.000000000000000000e+00
1.742087362454151389e+03 2.000000000000000000e+00
1.745411803934644695e+03 2.000000000000000000e+00
1.748736245415138228e+03 2.000000000000000000e+00
1.752060686895631761e+03 2.000000000000000000e+00
1.755385128376125294e+03 2.000000000000000000e+00
1.758709569856618828e+03 2.000000000000000000e+00
1.762034011337112361e+03 2.000000000000000000e+00
1.765358452817605666e+03 2.000000000000000000e+00
1.768682894298099200e+03 2.000000000000000000e+00
1.772007335778592733e+03 2.000000000000000000e+00
1.775331777259086266e+03 2.000000000000000000e+00
1.778656218739579799e+03 2.000000000000000000e+00
1.781980660220073332e+03 2.000000000000000000e+00
1.785305101700566865e+03 2.000000000000000000e+00
1.788629543181060171e+03 2.000000000000000000e+00
1.791953984661553704e+03 2.000000000000000000e+00
1.795278426142047238e+03 2.000000000000000000e+00
1.798602867622540771e+03 2.000000000000000000e+00
1.801927309103034304e+03 2.000000000000000000e+00
1.805251750583527837e+03 2.000000000000000000e+00
1.808576192064021143e+03 2.000000000000000000e+00
1.811900633544514676e+03 2.000000000000000000e+00
1.815225075025008209e+03 2.000000000000000000e+00
1.818549516505501742e+03 2.000000000000000000e+00
1.821873957985995276e+03 2.000000000000000000e+00
1.825198399466488809e+03 2.000000000000000000e+00
1.828522840946982114e+03 2.000000000000000000e+00
1.831847282427475648e+03 2.000000000000000000e+00
1.835171723907969181e+03 2.000000000000000000e+00
1.838496165388462714e+03 2.000000000000000000e+00
1.841820606868956247e+03 2.000000000000000000e+00
1.845145048349449780e+03 2.000000000000000000e+00
1.848469489829943313e+03 2.000000000000000000e+00
1.851793931310436619e+03 2.000000000000000000e+00
1.855118372790930152e+03 2.000000000000000000e+00
1.858442814271423686e+03 2.000000000000000000e+00
1.861767255751917219e+03 2.000000000000000000e+00
1.865091697232410752e+03 2.000000000000000000e+00
1.868416138712904285e+03 2.000000000000000000e+00
1.871740580193397591e+03 2.000000000000000000e+00
1.875065021673891124e+03 2.000000000000000000e+00
1.878389463154384657e+03 2.000000000000000000e+00
1.881713904634878190e+03 2.000000000000000000e+00
1.885038346115371723e+03 2.000000000000000000e+00
1.888362787595865257e+03 2.000000000000000000e+00
1.891687229076358562e+03 2.000000000000000000e+00
1.895011670556852096e+03 2.000000000000000000e+00
1.898336112037345629e+03 2.000000000000000000e+00
1.901660553517839162e+03 2.000000000000000000e+00
1.904984994998332695e+03 2.000000000000000000e+00
1.908309436478826228e+03 2.000000000000000000e+00
1.911633877959319761e+03 2.000000000000000000e+00
1.914958319439813067e+03 2.000000000000000000e+00
1.918282760920306600e+03 2.000000000000000000e+00
1.921607202400800134e+03 2.000000000000000000e+00
1.924931643881293667e+03 2.000000000000000000e+00
1.928256085361787200e+03 2.000000000000000000e+00
1.931580526842280733e+03 2.000000000000000000e+00
1.934904968322774039e+03 2.000000000000000000e+00
1.938229409803267572e+03 2.000000000000000000e+00
1.941553851283761105e+03 2.000000000000000000e+00
1.944878292764254638e+03 2.000000000000000000e+00
1.948202734244748171e+03 2.000000000000000000e+00
1.951527175725241705e+03 2.000000000000000000e+00
1.954851617205735238e+03 2.000000000000000000e+00
1.958176058686228544e+03 2.000000000000000000e+00
1.961500500166722077e+03 2.000000000000000000e+00
